name,height,weight,collage,born,birth_city,birth_state
Al Harrington,206,104,,1980,Orange,New Jersey
J.R. Henderson,206,104,,1980,,
Bruno Sundov,218,99,,1980,Split,Croatia
Jonathan Bender,211,91,,1981,Picayune,Mississippi
Dalibor Bagaric,216,115,,1980,Croatia,
Jamal Crawford,196,90,University of Michigan,1980,Seattle,Washington
Keyon Dooling,190,88,University of Missouri,1980,Ft. Lauderdale,Florida
Donnell Harvey,203,99,University of Florida,1980,Shellman,Georgia
Darius Miles,206,95,,1981,Belleville,Illinois
Mike Miller,203,98,University of Florida,1980,Mitchell,South Dakota
Olumide Oyedeji,208,108,,1981,Ibadan,Nigeria
Quentin Richardson,198,101,DePaul University,1980,Chicago,Illinois
DeShawn Stevenson,196,95,,1981,Fresno,California
Gilbert Arenas,190,86,University of Arizona,1982,Los Angeles,California
Brandon Armstrong,196,85,Pepperdine University,1980,San Francisco,California
Jamison Brewer,193,83,Auburn University,1980,East Point,Georgia
Kedrick Brown,201,100,Okaloosa-Walton Community College,1981,Zachary,Louisiana
Kwame Brown,211,122,,1982,Charleston,South Carolina
Tyson Chandler,216,108,,1982,Hanford,California
Eddy Curry,213,133,,1982,Harvey,Illinois
Samuel Dalembert,211,115,Seton Hall University,1981,Port-Au-Prince,Haiti
DeSagana Diop,213,136,,1982,Dakar,Senegal
Joseph Forte,193,87,University of North Carolina,1981,Atlanta,Georgia
Antonis Fotsis,208,99,,1981,Athens,Greece
Pau Gasol,213,113,,1980,Barcelona,Spain
Eddie Griffin,208,99,Seton Hall University,1982,Philadelphia,Pennsylvania
Steven Hunter,213,99,DePaul University,1981,Chicago,Illinois
Richard Jefferson,201,105,University of Arizona,1980,Los Angeles,California
Andrei Kirilenko,206,99,,1981,Izhevsk,Russia
Troy Murphy,211,111,University of Notre Dame,1980,Morristown,New Jersey
Tony Parker,188,83,,1982,Bruges,Belgium
Vladimir Radmanovic,208,102,,1980,Trebinje Srpska-Bih,Bosnia and Herzegovina
Zach Randolph,206,117,Michigan State University,1981,Marion,Indiana
Jason Richardson,198,99,Michigan State University,1981,Saginaw,Michigan
Kenny Satterfield,188,84,University of Cincinnati,1981,New York,New York
Bobby Simmons,201,95,DePaul University,1980,Chicago,Illinois
Leon Smith,208,106,,1980,Chicago,Illinois
Gerald Wallace,201,97,University of Alabama,1982,Sylacauga,Alabama
Robert Archibald,211,113,University of Illinois at Urbana-Champaign,1980,Paisley,United Kingdom
Carlos Boozer,206,117,Duke University,1981,Aschaffenburg,Germany
J.R. Bremer,206,117,,1981,,
Caron Butler,201,103,University of Connecticut,1980,Racine,Wisconsin
