name,salary,start_year,end_year,team,team_full_name
A.C. Green," $2,250,000.00 ",2000,2001,MIA,Miami Heat
A.J. Guyton," $316,969.00 ",2000,2001,CHI,Chicago Bulls
A.J. Guyton," $465,850.00 ",2001,2002,CHI,Chicago Bulls
A.J. Guyton," $18,748.00 ",2002,2003,GSW,Golden State Warriors
Aaron McKie," $4,000,000.00 ",2001,2002,PHI,Philadelphia 76ers
Aaron Williams," $2,250,000.00 ",2000,2001,NJN,Brooklyn Nets
Aaron Williams," $2,475,000.00 ",2001,2002,NJN,Brooklyn Nets
Aaron Williams," $2,700,000.00 ",2002,2003,NJN,Brooklyn Nets
Aaron Williams," $2,925,000.00 ",2003,2004,NJN,Brooklyn Nets
Adam Harrington," $140,636.00 ",2002,2003,DAL,Dallas Mavericks
Adam Keefe," $3,390,000.00 ",2000,2001,GSW,Golden State Warriors
Adonal Foyle," $3,580,000.00 ",2000,2001,GSW,Golden State Warriors
Adonal Foyle," $4,400,000.00 ",2001,2002,GSW,Golden State Warriors
Adonal Foyle," $4,400,000.00 ",2002,2003,GSW,Golden State Warriors
Adonal Foyle," $4,400,000.00 ",2003,2004,GSW,Golden State Warriors
Adrian Griffin," $498,500.00 ",2000,2001,BOS,Boston Celtic
Adrian Griffin," $565,850.00 ",2001,2002,DAL,Dallas Mavericks
Adrian Griffin," $637,435.00 ",2002,2003,DAL,Dallas Mavericks
Adrian Griffin," $751,179.00 ",2003,2004,HOU,Houston Rockets
Al Harrington," $797,880.00 ",2000,2001,IND,Indiana Pacers
Al Harrington," $1,436,982.00 ",2001,2002,IND,Indiana Pacers
Al Harrington," $5,060,000.00 ",2002,2003,IND,Indiana Pacers
Al Harrington," $5,692,500.00 ",2003,2004,IND,Indiana Pacers
Alan Henderson," $5,910,000.00 ",2000,2001,ATL,Atlanta Hawks
Alan Henderson," $6,500,312.00 ",2001,2002,ATL,Atlanta Hawks
Alan Henderson," $7,091,250.00 ",2002,2003,ATL,Atlanta Hawks
Alan Henderson," $7,682,188.00 ",2003,2004,ATL,Atlanta Hawks
Aleksandar Radojevic," $1,425,120.00 ",2000,2001,TOR,Toronto Raptors 
